Locality,Property_Type,Area_sqft,Bedrooms,Bathrooms,Balconies,Floor,Total_Floors,Property_Age,Furnished,Parking,Lift,Power_Backup,Security,Gym,Swimming_Pool,Distance_Metro_km,Distance_School_km,Distance_Hospital_km,Facing,Water_Supply,Latitude,Longitude,Price_Lakhs
Somajiguda,Apartment,2048,4,4,2,13,13,1,Unfurnished,2,No,No,No,Yes,No,3.11,3.09,8.57,North-West,24x7,17.289513,78.559033,157.76
Tukkuguda,Villa,2038,4,4,0,1,7,16,Semi-Furnished,1,No,Yes,No,Yes,No,10.13,2.16,1.71,West,24x7,17.463132,78.506089,86.38
Kondapur,Villa,1464,3,3,0,1,9,8,Unfurnished,2,No,Yes,No,Yes,No,13.2,4.01,7.74,North,Limited,17.370935,78.536672,118.43
Nallagandla,Villa,1121,2,2,0,1,3,15,Fully Furnished,2,Yes,Yes,Yes,Yes,No,2.68,2.69,9.75,North-West,12 Hours,17.399425,78.422857,86.06
Shamshabad,Independent House,1570,3,4,3,5,10,4,Semi-Furnished,0,No,Yes,Yes,No,Yes,5.06,2.57,2.26,North-West,24x7,17.324729,78.436071,76.85
Khajaguda,Villa,2395,4,4,0,0,11,7,Semi-Furnished,1,No,Yes,Yes,No,Yes,0.6,2.32,4.27,South-East,12 Hours,17.396027,78.504298,178.76
Gachibowli,Apartment,1707,3,3,2,14,17,2,Fully Furnished,2,Yes,Yes,No,No,Yes,1.55,6.78,2.54,South-East,Limited,17.408084,78.403015,178.68
Puppalaguda,Independent House,1605,3,3,0,1,2,9,Fully Furnished,0,No,No,Yes,Yes,Yes,0.72,3.29,3.13,North-East,12 Hours,17.319366,78.490315,114.03
Bandlaguda Jagir,Builder Floor,1086,2,2,1,3,7,2,Fully Furnished,2,No,Yes,Yes,No,Yes,3.79,2.17,3.13,South-West,24x7,17.341657,78.466763,58.35
Mallapur,Apartment,1234,2,1,2,4,7,7,Semi-Furnished,1,No,No,No,No,Yes,11.14,4.33,1.38,South-West,Limited,17.287772,78.516576,66.01
Financial District,Builder Floor,1333,3,2,2,18,19,4,Semi-Furnished,2,No,Yes,No,No,Yes,7.97,4.08,3.24,East,24x7,17.444731,78.573251,156.63
Neknampur,Apartment,1158,2,2,1,1,18,14,Unfurnished,1,No,Yes,Yes,No,Yes,12.06,4.58,3.44,South-West,Limited,17.315757,78.563934,54.85
Sainikpuri,Apartment,1047,2,3,1,0,13,0,Fully Furnished,1,No,Yes,Yes,Yes,Yes,13.05,1.69,7.03,North,24x7,17.397918,78.519305,59.42
Nizampet,Apartment,1868,4,5,2,4,15,13,Semi-Furnished,2,Yes,Yes,Yes,Yes,No,10.97,3.07,6.07,South-East,Limited,17.471348,78.58609,101.83
Ameenpur,Villa,1053,2,1,1,11,18,7,Unfurnished,0,Yes,No,No,Yes,No,8.06,5.9,5.99,West,24x7,17.342444,78.56265,44.1
Ameenpur,Builder Floor,1559,3,2,1,2,9,3,Unfurnished,1,Yes,No,Yes,No,Yes,4.95,5.77,9.41,South-East,12 Hours,17.331216,78.566177,65.4
Vanasthalipuram,Apartment,1023,2,2,1,11,18,18,Semi-Furnished,0,Yes,Yes,No,Yes,Yes,3.52,6.87,2.34,South-East,12 Hours,17.32913,78.414325,40.02
Ramanthapur,Apartment,1116,2,3,1,11,16,18,Unfurnished,1,No,Yes,Yes,No,Yes,7.54,7.99,1.19,North-West,24x7,17.385012,78.521679,48.71
Hitech City,Apartment,1383,3,4,3,1,5,6,Fully Furnished,2,Yes,No,No,Yes,No,13.06,0.56,1.21,South,Limited,17.436608,78.538701,152.29
Ameerpet,Builder Floor,943,2,2,1,7,9,19,Unfurnished,0,No,Yes,Yes,Yes,No,1.91,7.49,7.88,North-East,12 Hours,17.367137,78.428638,58.94
Ameerpet,Apartment,1817,3,2,2,7,16,16,Fully Furnished,0,No,No,No,No,Yes,6.11,1.7,0.85,South-East,24x7,17.414121,78.573609,137.05
Madinaguda,Apartment,964,2,2,0,8,12,25,Semi-Furnished,2,No,Yes,No,No,No,2.0,6.8,6.63,North-West,Limited,17.441378,78.539872,45.06
Adibatla,Apartment,2178,4,3,0,2,4,9,Fully Furnished,2,Yes,No,No,Yes,Yes,11.09,6.85,0.54,South-East,Limited,17.478128,78.465411,77.95
Habsiguda,Apartment,1856,3,4,0,2,2,10,Fully Furnished,2,No,Yes,No,No,No,13.0,6.6,8.39,North-East,24x7,17.419342,78.532562,103.75
Habsiguda,Apartment,1372,3,4,1,3,5,12,Semi-Furnished,2,No,No,No,No,No,8.01,5.35,4.18,North-East,Limited,17.326364,78.487591,66.16
ECIL,Independent House,1281,2,2,1,8,15,10,Fully Furnished,0,Yes,No,Yes,No,Yes,6.92,1.61,6.65,North-East,Limited,17.370493,78.515744,67.01
Shamshabad,Apartment,1169,2,2,1,0,1,14,Semi-Furnished,1,Yes,No,Yes,No,Yes,8.22,1.83,5.57,South-East,Limited,17.331445,78.467765,49.22
Madinaguda,Apartment,1157,2,3,1,1,17,22,Semi-Furnished,0,No,Yes,No,Yes,Yes,14.53,7.04,1.33,East,Limited,17.324726,78.543377,66.73
Nizampet,Independent House,1230,3,3,0,2,2,4,Semi-Furnished,1,Yes,No,No,Yes,Yes,13.42,7.42,4.94,South-East,12 Hours,17.359046,78.536956,70.32
Mallapur,Apartment,1339,3,4,1,19,19,15,Semi-Furnished,0,No,Yes,Yes,No,Yes,1.27,0.98,2.2,South-West,12 Hours,17.454225,78.423263,57.02
Hayathnagar,Apartment,1317,3,4,2,8,17,18,Semi-Furnished,1,No,Yes,Yes,Yes,Yes,6.69,2.33,2.54,North-West,12 Hours,17.360335,78.454548,45.55
Mehdipatnam,Independent House,1152,2,2,1,1,1,21,Fully Furnished,2,Yes,No,Yes,Yes,No,0.92,3.41,5.51,North-West,12 Hours,17.382235,78.408503,66.89
Peerzadiguda,Apartment,2254,4,3,1,5,20,7,Fully Furnished,1,Yes,Yes,Yes,Yes,Yes,7.63,2.25,6.18,North-East,Limited,17.348389,78.548465,85.29
Bachupally,Apartment,2156,4,3,2,0,17,15,Fully Furnished,0,Yes,No,No,Yes,Yes,12.37,2.36,5.21,South-West,Limited,17.345493,78.55844,97.25
Hayathnagar,Apartment,1724,3,3,0,4,8,16,Semi-Furnished,1,Yes,No,No,No,Yes,13.09,7.06,6.39,South-West,24x7,17.43793,78.416039,66.7
Nanakramguda,Apartment,2267,4,4,3,3,9,23,Unfurnished,1,No,No,No,No,No,13.39,4.54,6.76,North-West,Limited,17.474005,78.523208,137.34
Nizampet,Apartment,1170,2,1,1,6,12,0,Fully Furnished,1,Yes,No,Yes,Yes,No,2.8,6.72,6.67,North,Limited,17.385116,78.515845,56.57
Ameenpur,Apartment,860,2,2,0,6,12,11,Semi-Furnished,0,Yes,Yes,No,Yes,No,4.49,6.42,1.07,North,Limited,17.308991,78.449113,39.52
Bachupally,Apartment,1171,2,2,0,2,3,0,Unfurnished,1,Yes,Yes,Yes,Yes,Yes,11.49,5.64,4.15,North,24x7,17.457284,78.41416,57.17
Neknampur,Apartment,878,2,2,1,9,17,22,Semi-Furnished,0,No,No,No,No,Yes,9.01,4.35,7.61,North-East,Limited,17.350765,78.519163,52.12
Maheshwaram,Apartment,1307,3,3,0,5,18,15,Unfurnished,2,Yes,Yes,No,No,Yes,9.01,6.98,1.44,North-West,24x7,17.447389,78.57585,55.89
Masab Tank,Apartment,1120,2,1,1,9,11,1,Unfurnished,0,Yes,No,No,No,No,11.26,3.79,1.48,North-West,24x7,17.456701,78.413037,77.57
Dilsukhnagar,Apartment,1533,3,2,1,4,9,13,Fully Furnished,1,Yes,Yes,No,Yes,No,14.03,3.48,9.34,North-West,12 Hours,17.433396,78.522245,88.81
Bachupally,Villa,1279,3,2,1,3,5,14,Semi-Furnished,1,No,No,No,No,No,5.9,7.03,4.01,West,24x7,17.459609,78.420472,65.64
Safilguda,Villa,1454,3,4,3,1,20,0,Semi-Furnished,0,No,No,No,No,No,8.75,5.98,4.89,North-East,Limited,17.428493,78.481795,68.69
Mallapur,Apartment,1549,3,4,3,1,4,10,Semi-Furnished,2,Yes,No,Yes,Yes,No,6.75,2.33,7.48,East,12 Hours,17.361679,78.420356,79.5
Neknampur,Villa,3205,5,5,3,5,13,6,Unfurnished,1,No,Yes,Yes,No,Yes,7.7,7.45,8.28,East,12 Hours,17.394782,78.424539,207.27
Masab Tank,Apartment,1561,3,3,2,6,12,25,Unfurnished,0,No,Yes,Yes,No,No,10.64,6.93,4.44,East,Limited,17.387223,78.507563,83.86
Nampally,Apartment,3388,5,4,0,13,17,24,Fully Furnished,0,No,Yes,Yes,No,Yes,5.87,2.84,4.98,North-West,24x7,17.450742,78.552613,194.86
Tukkuguda,Apartment,1428,3,4,3,2,2,21,Unfurnished,0,No,Yes,No,Yes,Yes,0.98,3.16,7.74,South,Limited,17.30608,78.554471,60.36
Puppalaguda,Independent House,932,2,3,1,0,2,19,Fully Furnished,0,Yes,Yes,No,Yes,No,9.02,1.72,0.52,South,Limited,17.424405,78.459297,60.14
Maheshwaram,Apartment,1764,4,4,2,7,10,16,Unfurnished,1,No,No,No,Yes,No,13.27,6.49,7.52,South,12 Hours,17.430074,78.409218,62.74
Manikonda,Apartment,1614,3,4,2,8,16,4,Fully Furnished,1,No,No,Yes,No,No,9.9,1.79,7.0,North,12 Hours,17.462276,78.396139,89.94
Habsiguda,Apartment,1535,3,2,3,9,15,8,Fully Furnished,2,Yes,No,No,No,Yes,4.94,7.61,4.15,South,Limited,17.420833,78.512975,81.64
Khairatabad,Apartment,1263,2,3,1,10,10,4,Unfurnished,2,No,Yes,Yes,No,Yes,12.78,7.53,8.15,North-East,Limited,17.334758,78.575112,81.52
Attapur,Apartment,1265,3,2,1,4,5,25,Unfurnished,0,Yes,No,No,No,Yes,3.19,0.7,4.94,South,12 Hours,17.440101,78.465324,59.3
Kapra,Builder Floor,1265,3,3,3,9,16,22,Fully Furnished,1,No,Yes,Yes,No,No,5.25,3.26,8.1,North-West,Limited,17.287143,78.495551,47.01
Ameenpur,Apartment,1580,3,4,3,0,18,1,Semi-Furnished,1,Yes,Yes,No,No,No,4.29,2.27,6.22,South,12 Hours,17.358827,78.458138,74.64
Hafeezpet,Apartment,980,2,3,1,4,7,25,Semi-Furnished,0,Yes,Yes,No,Yes,Yes,14.72,4.23,4.71,South-West,Limited,17.389109,78.474833,50.78
Mehdipatnam,Apartment,1173,2,1,2,11,17,21,Fully Furnished,0,No,No,No,Yes,Yes,3.75,7.07,5.7,East,Limited,17.386104,78.488252,59.56
Tukkuguda,Builder Floor,2552,4,4,3,6,14,22,Unfurnished,0,No,Yes,No,Yes,Yes,3.46,1.04,4.32,West,Limited,17.481548,78.436695,78.53
Gachibowli,Apartment,891,2,2,1,9,15,18,Semi-Furnished,1,Yes,No,Yes,No,Yes,10.7,3.01,6.39,West,24x7,17.417629,78.505773,63.69
Punjagutta,Independent House,553,1,2,1,1,12,7,Unfurnished,1,Yes,Yes,Yes,Yes,Yes,6.32,4.83,3.23,South,12 Hours,17.369438,78.543713,52.08
Old Alwal,Apartment,1244,3,3,1,1,3,14,Semi-Furnished,0,Yes,Yes,No,No,No,5.6,6.89,2.17,South,12 Hours,17.449051,78.516449,54.2
Habsiguda,Apartment,624,1,1,1,5,11,10,Unfurnished,1,No,Yes,Yes,Yes,No,9.62,3.94,1.05,South-West,Limited,17.376606,78.438029,31.01
Khajaguda,Apartment,2466,4,5,3,1,2,18,Unfurnished,1,No,Yes,Yes,Yes,Yes,10.62,1.0,4.14,South,24x7,17.387575,78.450871,146.86
Masab Tank,Independent House,1435,3,3,0,4,12,16,Semi-Furnished,2,No,Yes,No,No,No,12.36,7.2,6.03,South,24x7,17.484147,78.473752,108.2
Vanasthalipuram,Apartment,1052,2,2,1,10,17,20,Fully Furnished,1,Yes,Yes,Yes,Yes,No,1.5,6.27,9.11,North-West,Limited,17.354003,78.397647,47.03
LB Nagar,Independent House,1160,2,2,0,6,10,24,Semi-Furnished,2,Yes,Yes,No,Yes,Yes,0.59,4.01,7.84,North-East,24x7,17.368739,78.430627,52.52
Financial District,Apartment,1488,3,2,3,3,9,14,Semi-Furnished,0,Yes,Yes,No,Yes,No,6.89,1.16,2.25,North,Limited,17.468,78.555476,99.14
Kompally,Villa,1778,3,4,0,11,15,12,Fully Furnished,0,No,No,No,No,Yes,5.64,1.03,9.54,South,Limited,17.318563,78.410773,99.62
Alwal,Independent House,579,1,1,1,2,19,24,Semi-Furnished,2,Yes,Yes,Yes,No,Yes,14.93,3.19,6.61,East,Limited,17.429806,78.572462,22.28
Sainikpuri,Apartment,1210,2,2,1,5,5,10,Fully Furnished,0,No,No,Yes,No,No,13.04,0.35,2.98,North,24x7,17.308828,78.489179,80.76
Hayathnagar,Apartment,1386,3,4,0,5,19,13,Unfurnished,0,No,Yes,Yes,No,Yes,11.22,0.5,6.26,South,12 Hours,17.359965,78.510966,51.51
Rajendra Nagar,Apartment,1142,2,1,2,3,3,1,Unfurnished,0,Yes,No,No,Yes,Yes,5.5,6.8,6.85,South-West,12 Hours,17.307121,78.393818,64.32
Ramanthapur,Apartment,1675,3,3,3,4,17,3,Unfurnished,2,No,No,No,No,No,0.91,4.08,2.42,North-West,Limited,17.331546,78.397466,73.54
Meerpet,Builder Floor,1352,3,2,2,1,4,11,Semi-Furnished,0,No,No,Yes,No,Yes,1.21,3.05,4.53,North-East,Limited,17.292792,78.465062,49.35
Maheshwaram,Apartment,1764,3,3,0,15,16,8,Fully Furnished,1,No,No,No,Yes,No,13.02,5.03,6.42,North-West,Limited,17.353249,78.475537,67.73
Ameerpet,Apartment,1159,2,3,0,2,6,4,Unfurnished,0,Yes,Yes,No,No,No,9.79,1.25,4.12,South-West,24x7,17.386779,78.558989,71.17
Manikonda,Apartment,1393,3,3,2,0,8,6,Fully Furnished,0,Yes,No,Yes,Yes,No,9.8,4.38,5.4,South-West,12 Hours,17.286982,78.542309,92.82
Khairatabad,Apartment,937,2,1,0,8,20,24,Fully Furnished,1,No,No,Yes,Yes,Yes,8.6,3.4,8.62,South,12 Hours,17.482768,78.483346,68.11
Neknampur,Apartment,2461,5,5,1,3,3,20,Semi-Furnished,2,No,No,Yes,Yes,No,10.44,6.55,4.67,East,12 Hours,17.435914,78.436421,144.24
Peerzadiguda,Apartment,1776,3,2,3,3,10,2,Unfurnished,2,No,Yes,No,No,Yes,5.57,4.17,7.11,West,Limited,17.483427,78.558206,88.3
Ramanthapur,Apartment,1670,3,3,0,8,20,16,Unfurnished,2,Yes,No,No,No,No,14.88,1.74,6.31,South,24x7,17.426274,78.455816,71.86
Narsingi,Apartment,2509,4,5,0,17,17,10,Semi-Furnished,0,No,No,Yes,No,No,12.13,0.77,7.31,East,12 Hours,17.365696,78.433651,150.7
Rajendra Nagar,Apartment,992,2,2,0,0,1,16,Unfurnished,2,No,Yes,Yes,Yes,Yes,5.86,7.78,3.55,North-East,Limited,17.352466,78.552205,48.3
Raidurg,Apartment,1238,3,3,2,11,15,12,Unfurnished,2,Yes,No,No,Yes,No,3.22,6.71,3.68,North-West,12 Hours,17.346564,78.434933,89.86
Kothaguda,Villa,2550,4,4,2,6,9,19,Fully Furnished,2,Yes,Yes,Yes,No,Yes,7.61,6.92,7.63,South,Limited,17.298637,78.424125,179.63
Suchitra,Apartment,2520,4,4,2,1,16,23,Fully Furnished,0,No,Yes,Yes,Yes,Yes,6.9,7.96,3.9,South-East,24x7,17.343272,78.470179,112.23
Osman Nagar,Apartment,1287,3,3,0,1,6,9,Fully Furnished,0,No,No,No,Yes,No,7.96,7.27,3.71,North-East,Limited,17.460181,78.56776,58.12
Vanasthalipuram,Builder Floor,912,2,2,0,6,7,12,Semi-Furnished,2,Yes,Yes,No,Yes,No,13.62,5.66,8.85,West,12 Hours,17.351031,78.40806,51.34
Shamshabad,Apartment,1761,3,3,0,2,11,23,Semi-Furnished,2,Yes,Yes,Yes,Yes,Yes,9.93,1.53,6.04,North-East,Limited,17.297045,78.44623,63.55
Quthbullapur,Apartment,1421,3,3,3,18,19,6,Fully Furnished,0,No,Yes,No,No,Yes,0.58,1.23,2.04,East,24x7,17.34908,78.419557,63.21
Gachibowli,Apartment,2362,4,4,2,9,14,16,Fully Furnished,2,No,No,No,No,Yes,10.52,1.43,2.27,West,24x7,17.3095,78.513681,198.74
Nagole,Apartment,1304,3,4,2,9,9,3,Semi-Furnished,0,Yes,Yes,Yes,Yes,Yes,3.26,4.28,8.89,South,24x7,17.299107,78.568586,79.86
Uppal,Independent House,1941,4,4,1,8,18,22,Unfurnished,2,Yes,Yes,No,No,Yes,14.17,3.97,1.28,South,24x7,17.44925,78.495626,102.02
Osman Nagar,Apartment,1459,3,3,1,13,18,14,Unfurnished,1,No,No,Yes,No,Yes,9.48,5.93,6.69,South-West,Limited,17.47609,78.436092,66.42
Lakdikapul,Apartment,826,1,2,1,0,5,1,Semi-Furnished,2,No,Yes,No,Yes,Yes,4.0,1.98,0.84,North-West,24x7,17.318762,78.557489,69.84
Isnapur,Builder Floor,1258,2,3,0,4,12,5,Semi-Furnished,1,No,Yes,No,Yes,Yes,7.54,6.8,7.65,South,Limited,17.387356,78.540589,47.35
Punjagutta,Apartment,1764,3,3,1,10,13,6,Fully Furnished,2,Yes,No,No,Yes,No,13.33,5.98,0.88,North,Limited,17.46684,78.550625,137.85
Nampally,Villa,1436,3,2,2,7,19,2,Unfurnished,2,No,Yes,Yes,Yes,No,4.12,5.74,7.34,North-West,24x7,17.324844,78.443537,115.37
Beeramguda,Apartment,1220,2,2,2,10,10,18,Fully Furnished,2,No,Yes,No,No,No,7.82,5.72,4.44,West,24x7,17.360411,78.465364,35.33
Jubilee Hills,Villa,1162,2,2,2,5,9,8,Fully Furnished,0,Yes,No,No,No,Yes,3.34,6.82,2.29,East,Limited,17.316976,78.524949,171.51
Shamshabad,Apartment,1061,2,2,2,1,12,23,Fully Furnished,0,Yes,No,No,No,No,2.06,2.07,8.68,South-East,24x7,17.347062,78.487369,35.48
Nampally,Apartment,2043,4,3,2,3,3,7,Semi-Furnished,0,Yes,Yes,No,Yes,No,13.06,4.05,5.27,South-West,24x7,17.432894,78.515807,129.67
Isnapur,Apartment,1314,3,3,0,2,15,25,Fully Furnished,2,Yes,No,No,No,No,13.22,7.65,1.64,North,12 Hours,17.394409,78.404189,37.15
Balapur,Apartment,1422,3,2,0,9,10,6,Unfurnished,0,Yes,No,Yes,Yes,Yes,12.34,5.94,3.68,North-East,Limited,17.367703,78.394662,53.89
Hitech City,Independent House,1721,3,2,1,4,14,17,Semi-Furnished,2,Yes,Yes,Yes,Yes,Yes,7.76,2.65,7.21,East,Limited,17.47613,78.577427,167.0
Gachibowli,Apartment,2328,5,5,3,14,18,20,Fully Furnished,0,Yes,Yes,No,No,Yes,3.54,1.29,0.7,South,Limited,17.29362,78.422519,173.93
Ramanthapur,Apartment,1006,2,2,0,1,2,11,Unfurnished,0,Yes,No,No,Yes,Yes,0.67,2.55,2.39,South,12 Hours,17.474556,78.41494,45.93
Nagole,Apartment,791,1,1,0,5,8,13,Fully Furnished,1,Yes,Yes,No,No,Yes,10.81,6.47,6.2,South-West,Limited,17.306737,78.582952,45.42
Nagole,Apartment,1579,3,2,1,15,17,14,Fully Furnished,0,Yes,Yes,Yes,Yes,No,9.83,6.46,0.9,South-West,24x7,17.440047,78.455218,88.56
Malkajgiri,Apartment,1024,2,3,2,3,3,23,Unfurnished,1,Yes,Yes,No,No,No,11.05,0.61,6.45,West,12 Hours,17.323403,78.415904,44.52
Punjagutta,Apartment,1141,2,1,2,3,11,21,Semi-Furnished,2,Yes,Yes,No,No,No,9.21,6.21,6.04,South-West,24x7,17.468529,78.564194,96.77
Meerpet,Apartment,1933,4,4,3,0,15,4,Unfurnished,2,No,Yes,No,Yes,No,8.6,2.45,1.02,North-West,12 Hours,17.446654,78.400507,83.25
Beeramguda,Independent House,1889,3,3,2,0,10,14,Fully Furnished,2,No,No,No,Yes,Yes,14.64,6.45,7.74,East,Limited,17.347741,78.513829,73.76
Nagole,Apartment,691,1,1,1,2,16,3,Unfurnished,1,No,Yes,No,No,No,8.29,0.42,9.46,West,24x7,17.314701,78.505993,33.97
Karmanghat,Apartment,1064,2,2,1,3,5,4,Semi-Furnished,1,No,Yes,No,No,No,1.69,6.5,9.81,South-West,12 Hours,17.361425,78.413154,55.42
Bowenpally,Apartment,1492,3,3,1,1,1,7,Unfurnished,1,No,No,No,No,Yes,11.44,5.22,1.04,South,Limited,17.332497,78.44668,67.44
Pocharam,Apartment,2212,4,4,2,13,13,18,Unfurnished,1,No,Yes,No,Yes,Yes,13.97,5.54,1.06,South-East,12 Hours,17.405189,78.525916,93.57
Osman Nagar,Apartment,1032,2,3,1,4,4,25,Unfurnished,0,No,No,Yes,No,Yes,0.81,2.39,9.08,South-West,12 Hours,17.4498,78.427518,46.85
Nallagandla,Villa,1680,3,3,0,3,11,12,Unfurnished,1,Yes,Yes,Yes,Yes,Yes,12.41,2.29,6.55,West,Limited,17.445188,78.422732,124.99
Maheshwaram,Apartment,602,1,1,1,6,19,1,Unfurnished,1,Yes,Yes,Yes,No,No,2.88,6.96,7.95,South-West,Limited,17.461737,78.455286,18.24
Masab Tank,Apartment,919,2,2,1,0,4,13,Unfurnished,2,No,No,No,Yes,No,11.99,0.96,3.11,North-West,12 Hours,17.29007,78.524709,65.02
Neredmet,Apartment,1121,2,2,2,11,20,1,Fully Furnished,0,No,No,Yes,Yes,Yes,2.44,2.97,4.02,South,12 Hours,17.296148,78.508663,56.65
Nanakramguda,Builder Floor,1843,3,3,1,16,17,0,Semi-Furnished,0,No,No,Yes,No,Yes,9.0,7.1,6.49,South-West,24x7,17.362361,78.402816,155.46
ECIL,Villa,993,2,3,1,15,16,8,Semi-Furnished,1,No,No,Yes,Yes,No,6.69,6.51,0.96,East,12 Hours,17.344595,78.404652,51.75
Hayathnagar,Villa,1129,2,3,0,11,15,25,Semi-Furnished,0,No,No,Yes,No,No,9.97,3.22,6.04,North,24x7,17.286209,78.483472,51.26
Sainikpuri,Apartment,1459,3,3,1,13,20,1,Unfurnished,1,Yes,Yes,Yes,No,No,0.95,4.64,4.27,North,12 Hours,17.346536,78.571912,76.99
Puppalaguda,Apartment,1201,2,3,0,2,7,11,Unfurnished,2,Yes,No,Yes,No,No,14.1,3.84,5.95,North,Limited,17.478166,78.427859,75.99
Nacharam,Independent House,1470,3,4,2,4,11,19,Fully Furnished,2,No,No,No,Yes,Yes,7.01,1.79,1.54,North-East,Limited,17.394335,78.563596,65.82
Kollur,Independent House,1335,3,3,2,0,1,6,Fully Furnished,0,No,Yes,No,No,Yes,7.19,7.37,3.07,East,Limited,17.391912,78.425792,72.55
Gachibowli,Independent House,1189,2,2,0,1,3,17,Semi-Furnished,0,Yes,Yes,Yes,No,Yes,14.1,5.75,8.14,North,24x7,17.468298,78.452268,105.29
Beeramguda,Apartment,1032,2,2,2,3,5,24,Semi-Furnished,1,No,No,Yes,Yes,Yes,5.12,2.34,9.15,South,Limited,17.436965,78.454465,32.62
Miyapur,Independent House,1732,3,3,3,5,19,2,Semi-Furnished,0,Yes,Yes,Yes,No,Yes,7.6,6.13,1.14,South,Limited,17.432586,78.506186,121.65
Kothapet,Builder Floor,1591,3,3,1,2,16,11,Semi-Furnished,1,Yes,Yes,Yes,No,Yes,0.56,4.67,2.35,South-West,24x7,17.294921,78.438113,97.44
Meerpet,Apartment,1438,3,4,3,1,8,4,Fully Furnished,1,Yes,No,Yes,No,No,1.25,7.84,2.02,South-West,Limited,17.330396,78.535481,63.47
Maheshwaram,Apartment,1216,2,1,0,1,20,15,Unfurnished,0,Yes,No,Yes,Yes,Yes,8.08,6.81,9.77,North-West,24x7,17.369754,78.455127,35.27
Bandlaguda Jagir,Apartment,1238,3,3,1,1,7,10,Fully Furnished,2,No,No,Yes,No,No,6.96,5.08,2.38,South,24x7,17.37397,78.48451,71.42
Vanasthalipuram,Apartment,851,2,2,0,10,15,0,Unfurnished,2,No,Yes,Yes,Yes,Yes,6.93,5.11,4.52,North-West,Limited,17.46691,78.500491,44.47
Somajiguda,Apartment,852,2,2,2,2,4,10,Unfurnished,1,No,Yes,Yes,No,No,9.52,5.51,1.72,North,Limited,17.447361,78.45507,69.64
Himayat Nagar,Apartment,1242,2,2,0,3,10,20,Fully Furnished,1,No,Yes,No,No,Yes,2.04,7.05,2.98,South,12 Hours,17.454694,78.459351,81.22
Pragathi Nagar,Villa,1251,2,3,1,0,9,14,Fully Furnished,2,No,No,No,No,No,9.5,7.67,1.32,South-East,Limited,17.473198,78.511342,80.78
Nagole,Apartment,896,2,3,2,7,8,17,Fully Furnished,1,Yes,No,No,Yes,Yes,14.52,2.45,2.52,West,12 Hours,17.446019,78.555708,52.85
Nampally,Apartment,1350,3,3,1,0,15,8,Semi-Furnished,0,No,Yes,No,Yes,No,5.5,6.47,8.46,North-West,12 Hours,17.295253,78.467075,77.86
Chandanagar,Villa,1842,4,3,1,3,6,6,Semi-Furnished,1,Yes,Yes,No,No,No,14.86,7.92,1.97,South,24x7,17.37507,78.536493,121.1
Karmanghat,Apartment,1789,3,3,0,3,12,4,Fully Furnished,1,Yes,No,No,No,Yes,0.6,4.46,7.38,East,12 Hours,17.411949,78.423984,93.7
Hayathnagar,Apartment,1410,3,2,1,1,9,7,Fully Furnished,1,No,Yes,Yes,No,No,11.12,4.43,6.36,South-West,Limited,17.394139,78.427513,52.81
Hitech City,Apartment,572,1,1,1,6,9,3,Semi-Furnished,0,Yes,No,Yes,Yes,No,11.13,0.91,8.74,South-West,12 Hours,17.434722,78.48322,67.9
Attapur,Apartment,1852,3,4,1,14,17,13,Unfurnished,0,No,No,No,No,Yes,11.22,2.26,4.06,South-East,12 Hours,17.478454,78.529725,95.54
Vanasthalipuram,Apartment,1711,3,3,0,2,9,15,Fully Furnished,1,Yes,Yes,No,Yes,No,3.01,1.9,2.95,North,24x7,17.370421,78.48172,78.12
Kothaguda,Apartment,1295,2,2,0,9,11,25,Unfurnished,0,No,Yes,Yes,Yes,Yes,4.7,2.4,5.36,North-West,12 Hours,17.39001,78.528156,81.54
Peerzadiguda,Apartment,1472,3,2,3,6,13,0,Semi-Furnished,1,No,Yes,Yes,Yes,No,10.44,5.99,4.02,South-East,12 Hours,17.374345,78.41139,55.54
Safilguda,Builder Floor,1643,3,4,3,7,9,12,Unfurnished,2,No,Yes,Yes,No,Yes,9.0,2.69,8.86,North,24x7,17.285189,78.394553,79.5
Masab Tank,Apartment,1731,3,4,1,17,19,16,Semi-Furnished,0,No,No,No,No,Yes,2.92,3.62,7.03,North-West,Limited,17.333471,78.519362,94.96
Tarnaka,Apartment,1678,3,3,3,0,9,1,Semi-Furnished,1,Yes,No,No,No,Yes,8.97,2.19,8.1,West,12 Hours,17.395132,78.417329,114.26
Nanakramguda,Apartment,1780,3,3,1,0,1,3,Unfurnished,2,No,Yes,No,No,No,7.78,2.79,5.47,North-West,12 Hours,17.40505,78.53295,143.55
Quthbullapur,Apartment,1025,2,1,1,6,7,19,Semi-Furnished,1,No,No,Yes,No,Yes,14.09,7.67,8.86,South,Limited,17.480082,78.501413,43.47
Nagole,Villa,1536,3,3,3,14,14,19,Semi-Furnished,0,Yes,No,No,No,Yes,7.23,4.41,1.84,South-East,24x7,17.414693,78.400388,99.36
Bandlaguda Jagir,Independent House,3085,5,5,2,14,14,19,Semi-Furnished,2,No,No,Yes,Yes,No,12.12,5.57,5.6,North,12 Hours,17.308876,78.452269,171.28
Masab Tank,Apartment,2168,4,4,3,1,16,2,Unfurnished,0,No,Yes,Yes,No,Yes,12.63,1.75,9.57,South-West,24x7,17.404462,78.465427,169.15
